name,category,city,district,parcelAddress,roadAddress,roadPostal,districtPostal,latitude,longitude,xCoordinate,yCoordinate
매취랑 동대문점,한식,서울특별시,중구,서울특별시 중구 을지로6가 18-137,"서울특별시 중구 장충단로 249-10, 2층 (을지로6가)",4564,100-851,37.56749810168000,127.00775643133200,200614.497822789,451667.793301393
BLUE BOX(블루박스),기타,서울특별시,노원구,서울특별시 노원구 공릉동 334-3,서울특별시 노원구 공릉로 127 (공릉동),1837,139-802,37.62165796137520,127.0788353880460,206888.278816502,457681.129401558
치카바,일식,서울특별시,송파구,서울특별시 송파구 가락동 84-6,"서울특별시 송파구 송이로20길 12-1, 1층 101호 (가락동)",5712,138-803,37.49607930028220,127.11996353057800,210536.379531854,443748.684430769
오고보,경양식,서울특별시,송파구,서울특별시 송파구 방이동 57 One57빌당,"서울특별시 송파구 올림픽로34길 27-23, One57빌딩 2층 201호 (방이동)",5547,138-828,37.51533319596560,127.11206444574400,209835.419891828,445884.536808795
또봉이통닭 가락본동점,호프/통닭,서울특별시,송파구,서울특별시 송파구 가락동 46-11 문종빌딩,"서울특별시 송파구 오금로36길 64, 문종빌딩 1층 (가락동)",5706,138-801,37.499038226821200,127.12176128291300,210694.913956667,444077.25458923
대치동그집1981,한식,서울특별시,강동구,서울특별시 강동구 성내동 537-3,"서울특별시 강동구 성내로5길 31, 1층 101호 (성내동)",5392,134-850,37.53146195576240,127.12389941858300,210879.251613939,447675.739670456
왔따쪽갈비,한식,서울특별시,강동구,서울특별시 강동구 천호동 46-28,"서울특별시 강동구 천중로43길 55, 1층 102호 (천호동)",5315,134-861,37.54375963473100,127.14131467204300,212416.334313854,449042.643309731
서촌 곳간,한식,서울특별시,종로구,서울특별시 종로구 필운동 146-1 아이에스빌딩 1층,"서울특별시 종로구 필운대로 6-1, 아이에스빌딩 1층 (필운동)",3041,110-044,37.57685808979360,126.96941767912500,197228.18297893,452706.97234696
컴플리트커피,기타,서울특별시,중랑구,서울특별시 중랑구 면목동 198-27,"서울특별시 중랑구 중랑천로 67, 1층 (면목동)",2118,131-823,37.59138463232620,127.07291283123900,206368.067800804,454321.062421746
복림문,중국식,서울특별시,중구,서울특별시 중구 황학동 450,"서울특별시 중구 퇴계로87길 43-15, 1층 (황학동)",4576,100-869,37.56768972777360,127.02030009022000,201722.540160044,451689.215255174
카페 라,기타,서울특별시,중구,서울특별시 중구 장충동2가 202,"서울특별시 중구 동호로 249, 지하1층 (장충동2가)",4605,100-856,37.55695240601040,127.00604773709000,200463.625303538,450497.460903907
역전우동0410 숙대입구점,일식,서울특별시,용산구,서울특별시 용산구 청파동3가 22-2,"서울특별시 용산구 청파로 277, 1층 (청파동3가)",4313,140-133,37.54452694886300,126.97051294525000,197323.765241203,449118.950056912
끼(KKI),"외국음식전문점(인도,태국등)",서울특별시,용산구,서울특별시 용산구 용산동2가 1-510,"서울특별시 용산구 신흥로 97-6, 2층 (용산동2가)",4337,140-833,37.54538847456260,126.98487737005700,198593.055505142,449214.246833049
마라공방,중국식,서울특별시,구로구,서울특별시 구로구 고척동 76-153,"서울특별시 구로구 중앙로6길 50, 2층 (고척동)",8223,152-826,37.50029169476900,126.8665750754810,188132.565624313,444217.948267109
