사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
매취랑 동대문점,서울특별시 중구 을지로6가 18-137,"서울특별시 중구 장충단로 249-10, 2층 (을지로6가)",04564,100-851,200614.497822789,451667.793301393,37.56749810168001,127.00775643133176
BLUE BOX(블루박스),서울특별시 노원구 공릉동 334-3,서울특별시 노원구 공릉로 127 (공릉동),01837,139-802,206888.278816502,457681.129401558,37.62165796137516,127.0788353880464
치카바,서울특별시 송파구 가락동 84-6,"서울특별시 송파구 송이로20길 12-1, 1층 101호 (가락동)",05712,138-803,210536.379531854,443748.684430769,37.49607930028218,127.11996353057829
오고보,서울특별시 송파구 방이동 57 One57빌당,"서울특별시 송파구 올림픽로34길 27-23, One57빌딩 2층 201호 (방이동)",05547,138-828,209835.419891828,445884.536808795,37.51533319596562,127.11206444574387
또봉이통닭 가락본동점,서울특별시 송파구 가락동 46-11 문종빌딩,"서울특별시 송파구 오금로36길 64, 문종빌딩 1층 (가락동)",05706,138-801,210694.913956667,444077.25458923,37.499038226821156,127.12176128291298
대치동그집1981,서울특별시 강동구 성내동 537-3,"서울특별시 강동구 성내로5길 31, 1층 101호 (성내동)",05392,134-850,210879.251613939,447675.739670456,37.53146195576241,127.12389941858288
왔따쪽갈비,서울특별시 강동구 천호동 46-28,"서울특별시 강동구 천중로43길 55, 1층 102호 (천호동)",05315,134-861,212416.334313854,449042.643309731,37.54375963473095,127.14131467204292
서촌 곳간,서울특별시 종로구 필운동 146-1 아이에스빌딩 1층,"서울특별시 종로구 필운대로 6-1, 아이에스빌딩 1층 (필운동)",03041,110-044,197228.18297893,452706.97234696,37.57685808979361,126.96941767912502
컴플리트커피,서울특별시 중랑구 면목동 198-27,"서울특별시 중랑구 중랑천로 67, 1층 (면목동)",02118,131-823,206368.067800804,454321.062421746,37.59138463232615,127.07291283123882
복림문,서울특별시 중구 황학동 450,"서울특별시 중구 퇴계로87길 43-15, 1층 (황학동)",04576,100-869,201722.540160044,451689.215255174,37.56768972777359,127.02030009022023
카페 라,서울특별시 중구 장충동2가 202,"서울특별시 중구 동호로 249, 지하1층 (장충동2가)",04605,100-856,200463.625303538,450497.460903907,37.55695240601038,127.00604773709046
역전우동0410 숙대입구점,서울특별시 용산구 청파동3가 22-2,"서울특별시 용산구 청파로 277, 1층 (청파동3가)",04313,140-133,197323.765241203,449118.950056912,37.54452694886303,126.97051294524984
끼(KKI),서울특별시 용산구 용산동2가 1-510,"서울특별시 용산구 신흥로 97-6, 2층 (용산동2가)",04337,140-833,198593.055505142,449214.246833049,37.54538847456255,126.98487737005703
마라공방,서울특별시 구로구 고척동 76-153,"서울특별시 구로구 중앙로6길 50, 2층 (고척동)",08223,152-826,188132.565624313,444217.948267109,37.50029169476902,126.8665750754812
